Index,Url
143,http://cybermetrics.wlv.ac.uk/audit/101/stlds6.htm
111,http://cybermetrics.wlv.ac.uk/database/banned.txt
171,http://cybermetrics.wlv.ac.uk/database/stats
230,http://cybermetrics.wlv.ac.uk/database/stats/?C=M&O=A
35,http://linkanalysis.wlv.ac.uk/9.htm
175,http://cybermetrics.wlv.ac.uk/database/stats/data/UK_2002_directory_document_counts_from_to.txt
183,http://cybermetrics.wlv.ac.uk/audit/books/urls1.htm
58,http://cybermetrics.wlv.ac.uk/AoIRASIST/Barjak.html
42,http://socscibot.wlv.ac.uk
128,http://cybermetrics.wlv.ac.uk/audit/101/domains4.htm
211,http://cybermetrics.wlv.ac.uk/audit/books/urls9.htm
80,http://cybermetrics.wlv.ac.uk/AoIRASIST/Nentwich.html
238,http://cybermetrics.wlv.ac.uk/LexiURL/help/FAQ.htm
278,http://cybermetrics.wlv.ac.uk/database/stats/?C=D&O=D
227,http://cybermetrics.wlv.ac.uk/database/stats/?C=S&O=A
7,http://cybermetrics.wlv.ac.uk/index.html
295,http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=N&O=A
91,http://cybermetrics.wlv.ac.uk/PreviousEvents.htm
260,http://cybermetrics.wlv.ac.uk/audit/books/tlds3.htm
28,http://linkanalysis.wlv.ac.uk/2.htm
29,http://linkanalysis.wlv.ac.uk/1.htm
10,http://cybermetrics.wlv.ac.uk/services.html
266,http://cybermetrics.wlv.ac.uk/audit/books/urls2.htm
135,http://cybermetrics.wlv.ac.uk/audit/101/tlds2.htm
176,http://cybermetrics.wlv.ac.uk/database/stats/data/?C=D&O=A
275,http://cybermetrics.wlv.ac.uk/database/stats/?C=S&O=D
157,http://cybermetrics.wlv.ac.uk/audit/101/sites4.htm
207,http://cybermetrics.wlv.ac.uk/audit/books/urls7.htm
43,http://linkanalysis.wlv.ac.uk/8.htm
217,http://cybermetrics.wlv.ac.uk/audit/books/stlds8.htm
222,http://cybermetrics.wlv.ac.uk/database/stats/data/tw_2002.txt
40,http://linkanalysis.wlv.ac.uk/11.htm
286,http://cybermetrics.wlv.ac.uk/audit/101/sites10.htm
252,http://cybermetrics.wlv.ac.uk/database/stats/data/cn_2002.txt
253,http://cybermetrics.wlv.ac.uk/database/stats/data/cn_2002_directory_document_counts_from_to.txt
